line,eqn,type
The dinner plates cost 20*.5=$10,20*.5=10,correct
"During the first half, Martin did 4 * 70 = 280 kilometers.",4*70=280,correct
His team pays for 3520*.7=$2464 of that,3520*.7=2464,correct
On the third day it rained 20*1.5=30 inches,20*1.5=30,correct
So his total weight is 455+91=546 pounds per hand,455+91=546,correct
So they each had 12+6=18 episodes,12+6=18,correct
The total amount that she needs to pay is $3 + $9 = $12.,3+9=12,correct
Then do the same for the iced teas: 2 iced teas x $3/tea = $6,2*3=6,correct
"Therefore, Phil has 96 quarters + 1 quarter = 97 quarters now.",96+1=97,correct
He takes out $400 * 0.15 = $60 for his gummy bears.,400*0.15=60,correct
While he sold 5 x 12 = 60 avocados.,5*12=60,correct
"We subtract the 21 cookies from the original amount of 60, finding 60-21= 39 cookies remaining.",60-21=39,correct
The first bed is 3 feet long by 3 feet wide so it's 3*3 = 9 sq ft,3*3=9,correct
Then find the number of pills Janet takes every day for the last 2 weeks: 2 pills/day + 1 pill/day = 3 pills/day,2+1=3,correct
So he is at an elevation of 400-50=350 feet.,400-50=350,correct
"Thus, she has 20-12=8 hours to write her report.",20-12=8,correct
So he has 4*300=1200 square feet of rooms this size,4*300=1200,correct
The pelican and kingfisher caught 13 + 20 = 33 fish,13+20=33,correct
Then add all the costs to find the total cost: $6000 + $6240 + $3650 = $15890,6000+6240+3650=15890,correct
Then find the total weight of the drummers: 2 drummers * 15 pounds/player = 30 pounds,2*15=30,correct
"Altogether, Junior and Rayman take 20+10 = 30 hours doing their workouts in a week.",20+10=30,correct
"After Smith gave him $200, Randy had 3000+200=3200 dollars.",3000+200=3200,correct
So she still needs to pay $100-$38=$62,100-38=62,correct
In total Jack has $43.00 + $40.00 = $83.00 dollars in his piggy bank,43+40=83.00,correct
Each guest has 3 apples because 2 x 1.5 = 3,2*1.5=3,correct
That means there are 70 - 35 - 14 = 21 researchers from the USA.,70-35-14=21,correct
Jack's mother asked him to buy 2 * 4 = 8 bottles of water.,2*4=8,correct
He wants to put half of $1300 into a retirement account so he will invest 1300/2= $650 into his retirement account,1300/2=650,correct
38/2=19 are left after half the class graduated.,38/2=19,correct
"For the remaining 5 games, Donovan needs to score 600 - 390 = 210 points.",600-390=210,correct
"So, She transferred a total of $60 + $30 = $90.",60+30=90,correct
The discount for an iPhone 12 is $800 x 15/100 = $120.,800*15/100=120,correct
The trial lasted 2 * 4 = 8 days,2*4=8,correct
That means he would have paid $9 more on Sunday than what he paid ($18) on Monday or $9+$18 = $27,9+18=27,correct
Jack need $111 - $40 = $71 more.,111-40=71,correct
The book is now 300 pages and he read 150 pages so he has 300-150 =150 pages left to read,300-150=150,correct
He will be 74 inches tall because 50 + 24 = 74,50+24=74,correct
Rudy first runs for 5 * 10 = 50 minutes.,5*10=50,correct
That means they were worth 80*25=$2000,80*25=2000,correct
"Thus, the stuffed animal cost $25 - $14 = $11.",25-14=11,correct
She needs to buy 3 kits and each kit costs $45.00 so that's 3*45 = $135.00,3*45=135.00,correct
"The solid wall is 160 sq. ft., so before the areas of the doors and window are taken into account, the total wall area is 4 * 160 sq. ft. = 640 sq. ft.",4*160=640,correct
"So, 1 large and 3 small puzzles cost $24 + $15 = $39.",24+15=39,correct
The total speed of all five coasters is 295 because 59 x 5 = 295,295=295,correct
John took 21-10 = 11 more chickens than Ray.,21-10=11,correct
"For the pets in the house, there are 3 * 4 = 12 legs",3*4=12,correct
Thrice the number of chocolate squares that Mike ate is 20 squares * 3 = 60 squares.,20*3=60,correct
He picks up 12 books to add to his collection of 11 books so he now has 12+11 = 23 books,12+11=23,correct
The sand weighed a total of 17 * 2 = 34 pounds.,17*2=34,correct
First find the total number of blue sequins: 6 rows * 8 sequins/row = 48 sequins,6*8=48,correct
Shannen is 15 years old - 2 years = 13 years old.,15-2=13,correct
He loses 3 pounds a week for 4 weeks for a total of 3*4= 12 pounds,3*4=12,correct
Farmer Brown would need $360-$150 = $210 more,360-150=210,correct
So each person gets 150000-15000=$135000,150000-15000=135000,correct
First figure out how many city miles Carl will drive round trip by multiplying the one-way number of city miles by 2: 60 miles * 2 = 120 miles,60*2=120,correct
He pays 7 * 2 = $14 for motorcycle tolls driving to work twice a week.,7*2=14,correct
The strawberries cost $3.00 per package and she needs 2 so 3*2=$6.00,3*2=6.00,correct
He can get 80 loads of laundry per bottle and he bought 2 bottles so that's 80*2 = 160 loads of laundry,80*2=160,correct
So Ivy should buy 10/2 = 5 bottles of 2-liter water.,10/2=5,correct
The bags of chips cost a total of $16 - $10 = $6.,16-10=6,correct
Then add the number of horses of each color to find the total number of horses: 9 horses + 18 horses + 3 horses + 3 horses = 33 horses,9+18+3+3=33,correct
"After investing, she had 3002 - 200 = $2802 left for fun.",3002-200=2802,correct
The number of carrots that the cook did not use that day is 180-108 = 72.,180-108=72,correct
Half of the number of Randy's mango trees is 60/2 = 30 trees.,60/2=30,correct
So the price for both products would be 8 + 15 = $23.,8+15=23,correct
First find the total number of chicks: 40 pigeons * 6 chicks/pigeon = 240 chicks,40*6=240,correct
That means he burns 630*3=1890 calories per week,630*3=1890,correct
On Thursday Zach spent 744*0.5 = 372 dollars on miles.,744*0.5=372,correct
So his discount saved 400*.1=$40,400*.1=40,correct
He has 80% of them left because 100 - 20 = 80,100-20=80,correct
The boat had 20 - 3 = 17 sheep make it to shore.,20-3=17,correct
He then paints 8 paintings * 2 = 16 paintings on the 4th day.,8*2=16,correct
"With five times as many blue stripes as gold stripes, this means there are 5 * 12 = 60 blue stripes.",5*12=60,correct
The total number of animals she saw on that day is 30+40+60 = 130 animals,30+40+60=130,correct
"Thus, there were 31-27=4 more flowers that contained the color red than the color white.",31-27=4,correct
"So, Geric had 8 x 2 = 16 bills.",8*2=16,correct
"On one trip, the pickup carries 10 bags * 50 kg/bag = 500kg of onions",10*50=500,correct
"Twenty years ago, Shane was 12 * 2 = 24 years old",12*2=24,correct
Claire's age now is 20 - 2 = 18 years old.,20-2=18,correct
Caleb picked 20 - 5 = 15 apples.,20-5=15,correct
The application fee is $25.00 per college and she is applying to 6 colleges so that's 25*6 = $150.00,25*6=150.00,correct
First find out how much he earned just from puppy washing: $76 - $40 = $36 for puppy washing,76-40=36,correct
"In the blue basket, there are 12 bananas + 4 apples = 16 fruits.",12+4=16,correct
These 75 boxes is equal to 75 x 10 = 750 apples.,75*10=750,correct
Each cut piece is 20/2=10 feet long,20/2=10,correct
Burning a candle for 1 hour lasts her 8 nights so if she burns for 2 hours it will last her 8/2 = 4 nights,1*8/2=4,correct
Now divide the remaining cost by the number of employees to find the cost per employee: $55 / 5 employees = $11/employee,55/5=11,correct
"Therefore, her total sales for the day is $135 + 70 = $205.",135+70=205,correct
"Over 7 days, she makes 140+125+40 = $305.00",140+125+40=305.00,correct
2.5 * 5 = 12.5 hours,2.5*5=12.5,correct
The expansion brought the time of good gameplay to 20+30=50 hours,20+30=50,correct
The cookies cost $3 because 6 - 3 = 3,6-3=3,correct
She paid with a $20.00 bill so 20-14 = $6.00 in change,20-14=6.00,correct
His monthly payment is $150.00 and he pays this for 60 months so his loan for the tractor was 150*60 = $9000.00,150*60=9000.00,correct
He eats 2 boxes for 52 weeks so he eats 2*52 = 104 boxes,2*52=104,correct
Wednesday + Friday = 4816 + 2095 = 6911 meters,4816+2095=6911,correct
Tina sold 34 - 8 = 26 more glasses of lemonade than Katya,34-8=26,correct
The voucher saved him $20 / 2 = $10.,20/2=10,correct
His costs for the sunglasses were $260 because 300 - 40 = 260,300-40=260,correct
She ordered 4 1/2 pound steaks so that's 4*.5 = 2 pounds of steak.,4*.5=2,correct
The pool holds 5000 gallons of water because 50 x 100 = 5000,50*100=5000,correct
"The nuts cost $20.00 and there are 40 servings per bag, so his snack is $20/40 = $0.50 per serving",20/40=0.50,correct
There is 6 oranges + 4 apples + 12 bananas + 6 peaches = 28 pieces of fruit.,6+4+12+6=28,correct
On Wednesday she sells 10 crates - 2 crates = 8 crates of eggs.,10-2=8,correct
The total savings for the two siblings is $155 + $125 = $280.,155+125=280,correct
During the first three games Clayton scored 10 points + 14 + 6 = 30 points.,10+14+6=30,correct
In both 2009 and 2010 Timothy and Theresa watched 24+31+62+12 = 129 movies.,24+31+62+12=129,correct
"A third of all the presents Alicia gets are in large boxes, 22 / 2 = 11 is half of the presents we know Alicia got.",22/2=11,correct
Two less than three times the original number of turtles is (9*3)-2=25.,9*3-2=25,correct
There will be a total of (1) Brian + (1) Brian's wife + (2) two kids + (2) Brian's parents + (2) Brian's in-laws = 1+1+2+2+2= 8 people eating,1+1+2+2+2=8,correct
"So in total, Wilson sled down the hills 8 times on tall hills + 6 times on small hills = 14 times.",8+6=14,correct
6 carrots weigh one pound so 234/6 = 39 pounds of carrots,234/6=39,correct
"Among the students who don't like the color blue, 40/100*140 = 56 students like the color red.",40/100*140=56,correct
"With twice as many caterpillars as scorpions, he has 3*2=6 caterpillars.",3*2=6,correct
"For the entire trip, she will consume a total of 4 * 5 = 20 pieces of jerky.",4*5=20,correct
Every 2 tablespoons makes 4 cups and they want 16 cups so 16/4 = 4 groups of 2 tablespoons are needed.,16/4=4,correct
The total rain was 0 inches + 1 inch = 1 inch across Wednesday and Thursday.,0+1=1,correct
There are (300/3) x 2 = 100 x 2 = 200 females cows in the field.,300/3*2=200,correct
2 scoops of collagen powder have 18 grams of protein and he only has 1 scoop so he consumes 18/2 = 9 grams of protein,18/2=9,correct
"If California had half the number of Coronavirus cases in New York, then the number of cases was 2000/2 = 1000 cases.",2000/2=1000,correct
They raised 324 x 2 = $ 648,324*2=648,correct
He needs to go 4 mph faster to make it to the top because 40 - 36 = 4.,40-36=4,correct
Each of the last two baskets contains an equal amount of fruits which is 18/2 = 9 fruits,18/2=9,correct
In total Bob drove 90 + 90 miles = 180 miles.,90+90=180,correct
She spent 2 x $2.5 = $5 on fruits drinks.,2*2.5=5,correct
He orders 100 patches and they cost $1.25 each so the patches are 100*1.25 = $125.00,100*1.25=125.00,correct
First find how much the store makes in profit: $20 * 0.30 = $6 for profit,20*0.30=6,correct
He got 200*.9=180 RSVP,200*.9=180,correct
The price of the book is down by: 100*0.2 = $20.,100*0.2=20,correct
"10 * 6 * $.10 = $6.00 worth of dimes,",10*6*.10=6.00,correct
Veronica = 17.5 + 1.5 = 19 pounds,17.5+1.5=19,correct
First find the cooked volume of the spinach: 40 ounces * 20% = 8 ounces,40*20*.01=8,correct
The group was able to sell 20 x 8 = 160 candy bars.,20*8=160,correct
Start with taking out the older pennies 200 pennies - 30 pennies = 170 pennies,200-30=170,correct
So he had to pay 300-225=$75,300-225=75,correct
Each bag was marked down to $1.50 a bag and she bought 2 bags for a total of 1.5*2 = $3.00,1.5*2=3.00,correct
Jimmy's shorts cost 3 x $15 = $45.,3*15=45,correct
Two sandwiches amount to $2.50 x 2 = $5.,2.5*2=5,correct
So his vest cost 250+240=$490,250+240=490,correct
Megan saves $1 x 12 = $12.,1*12=12,correct
They made $1 off single pieces because 100 x .01 = 1,100*.01=1,correct
The samosas cost 3*2=6 dollars each.,3*2=6,correct
She has 180 minutes to do work because 3 times 60 equals 180,3*60=180,correct
Jim gave away a total of 104+65+26 = 195 trading cards.,104+65+26=195,correct
"He makes 3 batches of baguettes a day, 48 per batch so he makes 3*48 = 144",3*48=144,correct
"Paul doubles the amount that he ate on the second day, so eats 2 x 2 = 4 sandwiches.",2*2=4,correct
Therefore he has 24 - 19 = 5 hours of free time.,24-19=5,correct
"Since she won 65 dollars, Renata's ended up having 29 + 65 = 94 dollars.",29+65=94,correct
Those 23 vehicles have 4 wheels each so 23*4 = 92 wheels,23*4=92,correct
"The second week it grew twice as much as the first week, so 2 * 2 inches = 4 inches.",2*2=4,correct
There are 5+8+7=20 students in the first three groups.,5+8+7=20,correct
"In the third week, she will save $8 x 2 = $16.",8*2=16,correct
He has 40-10= 30 more ducks than Lily.,40-10=30,correct
Regular = 2 * 14 = 28 pieces,2*14=28,correct
"After one treatment, the dog had 56 * 2 = 112 fleas.",56*2=112,correct
"The sum of Yuri's dice gave, 2 + 4 + 5 = 11 squares.",2+4+5=11,correct
She has 7 brothers - 4 brothers = 3 brothers with birthdays in the first half of the year.,7-4=3,correct
Mom bought things that cost: 4 + 4 + 2 + 6 + 11 = €27 .,4+4+2+6+11=27,correct
So he drinks 60 + 64 = 124 ounces of liquid a day,60+64=124,correct
Sonija spent $26 - $19 = $7 more than the rest of the people at the party.,26-19=7,correct
"With her regular shoes, it should take 5*10=50 minutes to run five miles",5*10=50,correct
"Working, 8 hour in a day, he earns $18 * 8 = $144.",8*18=144,correct
Dorothy buys 12/2 = 6 pens,12/2=6,correct
"Since brochures are made up of 5 pages each, this creates a total of 125 pages / 5 = 25 brochures.",125/5=25,correct
She now reads 40*1.5=60 pages per hour,40*1.5=60,correct
First figure out how much the loan will be: $32000 - $8000 = $24000,32000-8000=24000,correct
Then find how many teachers quit after an hour but before lunch: 30 teachers * 30% = 9 teachers,30*30*.01=9,correct
"So, the family would receive $1.50 x 4 = $6 for the newspapers.",1.50*4=6,correct
"If only half of people named Kevin are nice, and the crowd contains 20 people named Kevin, then 0.5*20=10 of these people are nice.",0.5*20=10,correct
Interest for two and a half years is 160 * 2.5 = $400.,160*2.5=400,correct
Then multiply the number of commutes by the number of miles per commute: 42 miles/commute * 20 commutes = 840 miles,42*20=840,correct
It took him 30 inches / 6 inches/year = 5 years to grow his hair out.,30/6=5,correct
They cost 2*100=200 cents each.,2*100=200,correct
The total number of baby hawks expected equals 360 * .25 expected los s= 90 babies not expected to hatch (lost).,360*.25=90,correct
The artist works for 18/1.5=12 hours,18/1.5=12,correct
She has $44 left in the bank because 100 - 56 = 44,100-56=44,correct
The food will cost him $4 because 2 x 2 = 4,2*2=4,correct
Her balance is $216.00 and she returns $45.00 worth of merchandise for a new balance of 216-45 = $171.00,216-45=171.00,correct
"If each sandwich comes with 4 strips of pepper, and each pepper makes 8 slices, then each sandwich uses 4/8=0.5 pepper.",4/8=0.5,correct
That means he pays 400*.5=$200 a month,400*.5=200,correct
18 inches is equal to 18/12 = 1.5 feet.,18/12=1.5,correct
A quart is 32 ounces so this jar is 32-2=30 ounces,32-2=30,correct
Then find the total number of pianists who were accepted: 20 pianists * 1/10 = 2 pianists,20*1/10=2,correct
The cost of 5 pieces of Dave's Single hamburger is $5 x 5 = $25.,5*5=25,correct
